filename,d,o,rx,ry,rz,left,right
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,62.81,50,-70.44,3.62,0,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d62p81_left.PNG,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d62p81_right.PNG
Monument to Belarussian Artist Jazep Drazdovich_model-9016.stl,81.76,50,-70.44,3.62,0,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d81p76_left.PNG,Monument to Belarussian Artist Jazep Drazdovich_model-9016_d81p76_right.PNG
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,340.55,50,-90.55,94.94,0,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d340p55_left.PNG,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d340p55_right.PNG
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,185.38,50,-90.55,94.94,0,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d185p38_left.PNG,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d185p38_right.PNG
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,350.74,50,-90.55,94.94,0,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d350p74_left.PNG,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d350p74_right.PNG
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,253.35,50,-90.55,94.94,0,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d253p35_left.PNG,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d253p35_right.PNG
Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1.stl,327.34,50,-90.55,94.94,0,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d327p34_left.PNG,Monument to Vintsent Dunin-Marcinkievič and Stanisław Moniuszko_model-9010-1_d327p34_right.PNG
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,387.84,50,-81.23,3.53,0,Naga from Goa Gajah_goa-gaja-temple-ubud_d387p84_left.PNG,Naga from Goa Gajah_goa-gaja-temple-ubud_d387p84_right.PNG
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,211.61,50,-81.23,3.53,0,Naga from Goa Gajah_goa-gaja-temple-ubud_d211p61_left.PNG,Naga from Goa Gajah_goa-gaja-temple-ubud_d211p61_right.PNG
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,273.76,50,-81.23,3.53,0,Naga from Goa Gajah_goa-gaja-temple-ubud_d273p76_left.PNG,Naga from Goa Gajah_goa-gaja-temple-ubud_d273p76_right.PNG
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,430.17,50,-81.23,3.53,0,Naga from Goa Gajah_goa-gaja-temple-ubud_d430p17_left.PNG,Naga from Goa Gajah_goa-gaja-temple-ubud_d430p17_right.PNG
Naga from Goa Gajah_goa-gaja-temple-ubud.stl,397.19,50,-81.23,3.53,0,Naga from Goa Gajah_goa-gaja-temple-ubud_d397p19_left.PNG,Naga from Goa Gajah_goa-gaja-temple-ubud_d397p19_right.PNG
Nilo Cesarini_nilo-cesarini.stl,363.84,50,-93.3,6.12,0,Nilo Cesarini_nilo-cesarini_d363p84_left.PNG,Nilo Cesarini_nilo-cesarini_d363p84_right.PNG
Nilo Cesarini_nilo-cesarini.stl,213.72,50,-93.3,6.12,0,Nilo Cesarini_nilo-cesarini_d213p72_left.PNG,Nilo Cesarini_nilo-cesarini_d213p72_right.PNG
Nilo Cesarini_nilo-cesarini.stl,370.85,50,-93.3,6.12,0,Nilo Cesarini_nilo-cesarini_d370p85_left.PNG,Nilo Cesarini_nilo-cesarini_d370p85_right.PNG
Nilo Cesarini_nilo-cesarini.stl,235.83,50,-93.3,6.12,0,Nilo Cesarini_nilo-cesarini_d235p83_left.PNG,Nilo Cesarini_nilo-cesarini_d235p83_right.PNG
Nilo Cesarini_nilo-cesarini.stl,372.48,50,-93.3,6.12,0,Nilo Cesarini_nilo-cesarini_d372p48_left.PNG,Nilo Cesarini_nilo-cesarini_d372p48_right.PNG
Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno.stl,161.41,50,0,0,0,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d161p41_left.PNG,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d161p41_right.PNG
Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno.stl,351.51,50,0,0,0,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d351p51_left.PNG,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d351p51_right.PNG
Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno.stl,260.51,50,0,0,0,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d260p51_left.PNG,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d260p51_right.PNG
Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno.stl,299.59,50,0,0,0,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d299p59_left.PNG,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d299p59_right.PNG
Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno.stl,281.54,50,0,0,0,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d281p54_left.PNG,Portrait of Antoninus Pius on a modern bust_ritratto-di-antonino-pio-su-busto-moderno_d281p54_right.PNG
Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla.stl,141.21,50,0,0,0,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d141p21_left.PNG,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d141p21_right.PNG
Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla.stl,339.81,50,0,0,0,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d339p81_left.PNG,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d339p81_right.PNG
Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla.stl,324.64,50,0,0,0,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d324p64_left.PNG,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d324p64_right.PNG
Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla.stl,281.72,50,0,0,0,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d281p72_left.PNG,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d281p72_right.PNG
Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla.stl,134.71,50,0,0,0,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d134p71_left.PNG,Portrait of Caracalla on ancient unrelated bust_ritratto-di-caracalla_d134p71_right.PNG
Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno.stl,156.15,50,0,0,0,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d156p15_left.PNG,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d156p15_right.PNG
Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno.stl,364.33,50,0,0,0,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d364p33_left.PNG,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d364p33_right.PNG
Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno.stl,296.88,50,0,0,0,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d296p88_left.PNG,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d296p88_right.PNG
Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno.stl,139.69,50,0,0,0,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d139p69_left.PNG,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d139p69_right.PNG
Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno.stl,316.71,50,0,0,0,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d316p71_left.PNG,Portrait of Severus Alexander on a modern bust_ritratto-di-alessandro-severo-su-busto-moderno_d316p71_right.PNG
"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation.stl",247.90,50,0,0,0,"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d247p90_left.PNG","Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d247p90_right.PNG"
"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation.stl",137.25,50,0,0,0,"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d137p25_left.PNG","Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d137p25_right.PNG"
"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation.stl",354.20,50,0,0,0,"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d354p20_left.PNG","Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d354p20_right.PNG"
"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation.stl",267.92,50,0,0,0,"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d267p92_left.PNG","Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d267p92_right.PNG"
"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation.stl",215.42,50,0,0,0,"Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d215p42_left.PNG","Portrait of a young prince, kown as Romolo Augustolo on an ancient bust_ritratto-di-giovane-principe-detto-romolo-augustolo-reparation_d215p42_right.PNG"
Prikurivauchiy_model-9002.stl,43.41,50,-89.24,20.06,0,Prikurivauchiy_model-9002_d43p41_left.PNG,Prikurivauchiy_model-9002_d43p41_right.PNG
Prikurivauchiy_model-9002.stl,118.39,50,-89.24,20.06,0,Prikurivauchiy_model-9002_d118p39_left.PNG,Prikurivauchiy_model-9002_d118p39_right.PNG
Prikurivauchiy_model-9002.stl,39.32,50,-89.24,20.06,0,Prikurivauchiy_model-9002_d39p32_left.PNG,Prikurivauchiy_model-9002_d39p32_right.PNG
Prikurivauchiy_model-9002.stl,98.28,50,-89.24,20.06,0,Prikurivauchiy_model-9002_d98p28_left.PNG,Prikurivauchiy_model-9002_d98p28_right.PNG
Prikurivauchiy_model-9002.stl,47.98,50,-89.24,20.06,0,Prikurivauchiy_model-9002_d47p98_left.PNG,Prikurivauchiy_model-9002_d47p98_right.PNG
Religious monument in Minsk_model-9018.stl,144.78,50,-84.42,-177.44,3,Religious monument in Minsk_model-9018_d144p78_left.PNG,Religious monument in Minsk_model-9018_d144p78_right.PNG
Religious monument in Minsk_model-9018.stl,208.77,50,-84.42,-177.44,3,Religious monument in Minsk_model-9018_d208p77_left.PNG,Religious monument in Minsk_model-9018_d208p77_right.PNG
Religious monument in Minsk_model-9018.stl,103.38,50,-84.42,-177.44,3,Religious monument in Minsk_model-9018_d103p38_left.PNG,Religious monument in Minsk_model-9018_d103p38_right.PNG
Religious monument in Minsk_model-9018.stl,178.54,50,-84.42,-177.44,3,Religious monument in Minsk_model-9018_d178p54_left.PNG,Religious monument in Minsk_model-9018_d178p54_right.PNG
Religious monument in Minsk_model-9018.stl,172.41,50,-84.42,-177.44,3,Religious monument in Minsk_model-9018_d172p41_left.PNG,Religious monument in Minsk_model-9018_d172p41_right.PNG
Sculpture at the Minsk Children's library_model-9010.stl,198.77,50,-84.7,3.92,0,Sculpture at the Minsk Children's library_model-9010_d198p77_left.PNG,Sculpture at the Minsk Children's library_model-9010_d198p77_right.PNG
Sculpture at the Minsk Children's library_model-9010.stl,106.59,50,-84.7,3.92,0,Sculpture at the Minsk Children's library_model-9010_d106p59_left.PNG,Sculpture at the Minsk Children's library_model-9010_d106p59_right.PNG
Sculpture at the Minsk Children's library_model-9010.stl,140.43,50,-84.7,3.92,0,Sculpture at the Minsk Children's library_model-9010_d140p43_left.PNG,Sculpture at the Minsk Children's library_model-9010_d140p43_right.PNG
Sculpture at the Minsk Children's library_model-9010.stl,96.85,50,-84.7,3.92,0,Sculpture at the Minsk Children's library_model-9010_d96p85_left.PNG,Sculpture at the Minsk Children's library_model-9010_d96p85_right.PNG
Sculpture at the Minsk Children's library_model-9010.stl,150.99,50,-84.7,3.92,0,Sculpture at the Minsk Children's library_model-9010_d150p99_left.PNG,Sculpture at the Minsk Children's library_model-9010_d150p99_right.PNG
Sculpture of a Lady on a Bench_model-9001.stl,155.49,50,-85.62,9.17,0,Sculpture of a Lady on a Bench_model-9001_d155p49_left.PNG,Sculpture of a Lady on a Bench_model-9001_d155p49_right.PNG
Sculpture of a Lady on a Bench_model-9001.stl,142.91,50,-85.62,9.17,0,Sculpture of a Lady on a Bench_model-9001_d142p91_left.PNG,Sculpture of a Lady on a Bench_model-9001_d142p91_right.PNG
Sculpture of a Lady on a Bench_model-9001.stl,127.14,50,-85.62,9.17,0,Sculpture of a Lady on a Bench_model-9001_d127p14_left.PNG,Sculpture of a Lady on a Bench_model-9001_d127p14_right.PNG
Sculpture of a Lady on a Bench_model-9001.stl,104.94,50,-85.62,9.17,0,Sculpture of a Lady on a Bench_model-9001_d104p94_left.PNG,Sculpture of a Lady on a Bench_model-9001_d104p94_right.PNG
Sculpture of a Lady on a Bench_model-9001.stl,156.65,50,-85.62,9.17,0,Sculpture of a Lady on a Bench_model-9001_d156p65_left.PNG,Sculpture of a Lady on a Bench_model-9001_d156p65_right.PNG
Sculpture standing over the design plan of the city of Minsk_model-9012.stl,151.04,50,-90.81,2.33,0,Sculpture standing over the design plan of the city of Minsk_model-9012_d151p04_left.PNG,Sculpture standing over the design plan of the city of Minsk_model-9012_d151p04_right.PNG
Sculpture standing over the design plan of the city of Minsk_model-9012.stl,189.44,50,-90.81,2.33,0,Sculpture standing over the design plan of the city of Minsk_model-9012_d189p44_left.PNG,Sculpture standing over the design plan of the city of Minsk_model-9012_d189p44_right.PNG
Sculpture standing over the design plan of the city of Minsk_model-9012.stl,213.50,50,-90.81,2.33,0,Sculpture standing over the design plan of the city of Minsk_model-9012_d213p50_left.PNG,Sculpture standing over the design plan of the city of Minsk_model-9012_d213p50_right.PNG
Sculpture standing over the design plan of the city of Minsk_model-9012.stl,166.74,50,-90.81,2.33,0,Sculpture standing over the design plan of the city of Minsk_model-9012_d166p74_left.PNG,Sculpture standing over the design plan of the city of Minsk_model-9012_d166p74_right.PNG
Sculpture standing over the design plan of the city of Minsk_model-9012.stl,169.21,50,-90.81,2.33,0,Sculpture standing over the design plan of the city of Minsk_model-9012_d169p21_left.PNG,Sculpture standing over the design plan of the city of Minsk_model-9012_d169p21_right.PNG
Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow.stl,306.02,50,-90.77,-87.68,0,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d306p02_left.PNG,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d306p02_right.PNG
Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow.stl,652.38,50,-90.77,-87.68,0,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d652p38_left.PNG,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d652p38_right.PNG
Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow.stl,332.75,50,-90.77,-87.68,0,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d332p75_left.PNG,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d332p75_right.PNG
Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow.stl,597.73,50,-90.77,-87.68,0,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d597p73_left.PNG,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d597p73_right.PNG
Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow.stl,682.32,50,-90.77,-87.68,0,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d682p32_left.PNG,Sophia Alekseyevna of Russia_8006-alley-of-rulers-moscow_d682p32_right.PNG
St. Charbel sculpture_model-9004.stl,161.16,50,-97.22,1.04,0,St. Charbel sculpture_model-9004_d161p16_left.PNG,St. Charbel sculpture_model-9004_d161p16_right.PNG
St. Charbel sculpture_model-9004.stl,168.59,50,-97.22,1.04,0,St. Charbel sculpture_model-9004_d168p59_left.PNG,St. Charbel sculpture_model-9004_d168p59_right.PNG
St. Charbel sculpture_model-9004.stl,163.87,50,-97.22,1.04,0,St. Charbel sculpture_model-9004_d163p87_left.PNG,St. Charbel sculpture_model-9004_d163p87_right.PNG
St. Charbel sculpture_model-9004.stl,166.39,50,-97.22,1.04,0,St. Charbel sculpture_model-9004_d166p39_left.PNG,St. Charbel sculpture_model-9004_d166p39_right.PNG
St. Charbel sculpture_model-9004.stl,70.63,50,-97.22,1.04,0,St. Charbel sculpture_model-9004_d70p63_left.PNG,St. Charbel sculpture_model-9004_d70p63_right.PNG
Statue of Saint George killing the Dragon_model-9003.stl,267.97,50,-91.57,-22.9,0,Statue of Saint George killing the Dragon_model-9003_d267p97_left.PNG,Statue of Saint George killing the Dragon_model-9003_d267p97_right.PNG
Statue of Saint George killing the Dragon_model-9003.stl,122.47,50,-91.57,-22.9,0,Statue of Saint George killing the Dragon_model-9003_d122p47_left.PNG,Statue of Saint George killing the Dragon_model-9003_d122p47_right.PNG
Statue of Saint George killing the Dragon_model-9003.stl,184.95,50,-91.57,-22.9,0,Statue of Saint George killing the Dragon_model-9003_d184p95_left.PNG,Statue of Saint George killing the Dragon_model-9003_d184p95_right.PNG
Statue of Saint George killing the Dragon_model-9003.stl,170.70,50,-91.57,-22.9,0,Statue of Saint George killing the Dragon_model-9003_d170p70_left.PNG,Statue of Saint George killing the Dragon_model-9003_d170p70_right.PNG
Statue of Saint George killing the Dragon_model-9003.stl,310.58,50,-91.57,-22.9,0,Statue of Saint George killing the Dragon_model-9003_d310p58_left.PNG,Statue of Saint George killing the Dragon_model-9003_d310p58_right.PNG
Statuette of Artemis Ephesia_statuetta-di-artemide-efesia.stl,206.54,50,-81.3,3.37,0,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d206p54_left.PNG,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d206p54_right.PNG
Statuette of Artemis Ephesia_statuetta-di-artemide-efesia.stl,273.08,50,-81.3,3.37,0,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d273p08_left.PNG,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d273p08_right.PNG
Statuette of Artemis Ephesia_statuetta-di-artemide-efesia.stl,219.76,50,-81.3,3.37,0,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d219p76_left.PNG,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d219p76_right.PNG
Statuette of Artemis Ephesia_statuetta-di-artemide-efesia.stl,283.49,50,-81.3,3.37,0,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d283p49_left.PNG,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d283p49_right.PNG
Statuette of Artemis Ephesia_statuetta-di-artemide-efesia.stl,296.02,50,-81.3,3.37,0,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d296p02_left.PNG,Statuette of Artemis Ephesia_statuetta-di-artemide-efesia_d296p02_right.PNG
Sviatoslav I_7999-alley-of-rulers-moscow.stl,602.55,50,-86.82,6.45,0,Sviatoslav I_7999-alley-of-rulers-moscow_d602p55_left.PNG,Sviatoslav I_7999-alley-of-rulers-moscow_d602p55_right.PNG
Sviatoslav I_7999-alley-of-rulers-moscow.stl,307.59,50,-86.82,6.45,0,Sviatoslav I_7999-alley-of-rulers-moscow_d307p59_left.PNG,Sviatoslav I_7999-alley-of-rulers-moscow_d307p59_right.PNG
Sviatoslav I_7999-alley-of-rulers-moscow.stl,863.74,50,-86.82,6.45,0,Sviatoslav I_7999-alley-of-rulers-moscow_d863p74_left.PNG,Sviatoslav I_7999-alley-of-rulers-moscow_d863p74_right.PNG
Sviatoslav I_7999-alley-of-rulers-moscow.stl,768.14,50,-86.82,6.45,0,Sviatoslav I_7999-alley-of-rulers-moscow_d768p14_left.PNG,Sviatoslav I_7999-alley-of-rulers-moscow_d768p14_right.PNG
Sviatoslav I_7999-alley-of-rulers-moscow.stl,851.66,50,-86.82,6.45,0,Sviatoslav I_7999-alley-of-rulers-moscow_d851p66_left.PNG,Sviatoslav I_7999-alley-of-rulers-moscow_d851p66_right.PNG
The Girl with an Umbrella_model-9000.stl,16.08,50,0,0,0,The Girl with an Umbrella_model-9000_d16p08_left.PNG,The Girl with an Umbrella_model-9000_d16p08_right.PNG
The Girl with an Umbrella_model-9000.stl,7.23,50,0,0,0,The Girl with an Umbrella_model-9000_d7p23_left.PNG,The Girl with an Umbrella_model-9000_d7p23_right.PNG
The Girl with an Umbrella_model-9000.stl,14.70,50,0,0,0,The Girl with an Umbrella_model-9000_d14p70_left.PNG,The Girl with an Umbrella_model-9000_d14p70_right.PNG
The Girl with an Umbrella_model-9000.stl,20.07,50,0,0,0,The Girl with an Umbrella_model-9000_d20p07_left.PNG,The Girl with an Umbrella_model-9000_d20p07_right.PNG
The Girl with an Umbrella_model-9000.stl,12.19,50,0,0,0,The Girl with an Umbrella_model-9000_d12p19_left.PNG,The Girl with an Umbrella_model-9000_d12p19_right.PNG
Virgin Mary sculpture_model-9005.stl,141.13,50,-79.29,5.63,0,Virgin Mary sculpture_model-9005_d141p13_left.PNG,Virgin Mary sculpture_model-9005_d141p13_right.PNG
Virgin Mary sculpture_model-9005.stl,240.30,50,-79.29,5.63,0,Virgin Mary sculpture_model-9005_d240p30_left.PNG,Virgin Mary sculpture_model-9005_d240p30_right.PNG
Virgin Mary sculpture_model-9005.stl,340.18,50,-79.29,5.63,0,Virgin Mary sculpture_model-9005_d340p18_left.PNG,Virgin Mary sculpture_model-9005_d340p18_right.PNG
Virgin Mary sculpture_model-9005.stl,142.47,50,-79.29,5.63,0,Virgin Mary sculpture_model-9005_d142p47_left.PNG,Virgin Mary sculpture_model-9005_d142p47_right.PNG
Virgin Mary sculpture_model-9005.stl,191.54,50,-79.29,5.63,0,Virgin Mary sculpture_model-9005_d191p54_left.PNG,Virgin Mary sculpture_model-9005_d191p54_right.PNG
Vladimir II Monomakh_8002-alley-of-rulers-moscow.stl,564.63,50,-81.55,6.72,0,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d564p63_left.PNG,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d564p63_right.PNG
Vladimir II Monomakh_8002-alley-of-rulers-moscow.stl,437.15,50,-81.55,6.72,0,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d437p15_left.PNG,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d437p15_right.PNG
Vladimir II Monomakh_8002-alley-of-rulers-moscow.stl,440.61,50,-81.55,6.72,0,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d440p61_left.PNG,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d440p61_right.PNG
Vladimir II Monomakh_8002-alley-of-rulers-moscow.stl,460.60,50,-81.55,6.72,0,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d460p60_left.PNG,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d460p60_right.PNG
Vladimir II Monomakh_8002-alley-of-rulers-moscow.stl,419.06,50,-81.55,6.72,0,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d419p06_left.PNG,Vladimir II Monomakh_8002-alley-of-rulers-moscow_d419p06_right.PNG
Vladimir the Great_8000-alley-of-rulers-moscow.stl,240.54,50,-87.34,-0.99,0,Vladimir the Great_8000-alley-of-rulers-moscow_d240p54_left.PNG,Vladimir the Great_8000-alley-of-rulers-moscow_d240p54_right.PNG
Vladimir the Great_8000-alley-of-rulers-moscow.stl,247.44,50,-87.34,-0.99,0,Vladimir the Great_8000-alley-of-rulers-moscow_d247p44_left.PNG,Vladimir the Great_8000-alley-of-rulers-moscow_d247p44_right.PNG
Vladimir the Great_8000-alley-of-rulers-moscow.stl,188.66,50,-87.34,-0.99,0,Vladimir the Great_8000-alley-of-rulers-moscow_d188p66_left.PNG,Vladimir the Great_8000-alley-of-rulers-moscow_d188p66_right.PNG
Vladimir the Great_8000-alley-of-rulers-moscow.stl,372.74,50,-87.34,-0.99,0,Vladimir the Great_8000-alley-of-rulers-moscow_d372p74_left.PNG,Vladimir the Great_8000-alley-of-rulers-moscow_d372p74_right.PNG
Vladimir the Great_8000-alley-of-rulers-moscow.stl,213.27,50,-87.34,-0.99,0,Vladimir the Great_8000-alley-of-rulers-moscow_d213p27_left.PNG,Vladimir the Great_8000-alley-of-rulers-moscow_d213p27_right.PNG
Vsevolod the Big Nest_8005-alley-of-rulers-moscow.stl,811.11,50,-84.9,14.53,0,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d811p11_left.PNG,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d811p11_right.PNG
Vsevolod the Big Nest_8005-alley-of-rulers-moscow.stl,306.49,50,-84.9,14.53,0,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d306p49_left.PNG,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d306p49_right.PNG
Vsevolod the Big Nest_8005-alley-of-rulers-moscow.stl,585.87,50,-84.9,14.53,0,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d585p87_left.PNG,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d585p87_right.PNG
Vsevolod the Big Nest_8005-alley-of-rulers-moscow.stl,445.52,50,-84.9,14.53,0,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d445p52_left.PNG,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d445p52_right.PNG
Vsevolod the Big Nest_8005-alley-of-rulers-moscow.stl,751.24,50,-84.9,14.53,0,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d751p24_left.PNG,Vsevolod the Big Nest_8005-alley-of-rulers-moscow_d751p24_right.PNG
Yaroslav the Wise_8001-alley-of-rulers-moscow.stl,744.48,50,-78.3,0.65,0,Yaroslav the Wise_8001-alley-of-rulers-moscow_d744p48_left.PNG,Yaroslav the Wise_8001-alley-of-rulers-moscow_d744p48_right.PNG
